Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
327167434.0,165285036.0,161882398.0,15.662068965517241,8.744051724137933,12.0,19.4370002746582,1.42299997806549,0.754999995231628,8.49499988555908,3.93300008773804,20544343456936.5,1.735522543112606,267900000000.0,152778873809.5238,10318.04936417646,5.957522125753533,89.28966179332612,2018,USA
325147121.0,164275323.0,160871798.0,11.8,8.5,12.0,19.7290000915527,1.43499994277954,0.767000019550323,8.70699977874756,4.35500001907349,19485393853000.0,2.16422812633974,243296000000.0,178579605000.0,10318.04936417646,5.957522125753533,89.28966179332612,2017,USA
323071342.0,163245729.0,159825613.0,12.2,8.493,12.0,19.7740001678467,1.44700002670288,0.774999976158142,8.70400047302246,4.86899995803833,18707188235000.0,-0.0919993213583865,218168000000.0,175923170000.0,10318.04936417646,5.957522125753533,89.28966179332612,2016,USA
320742673.0,162097641.0,158645032.0,12.4,8.44,12.0,19.8729991912842,1.42599999904633,0.741999983787537,8.83500003814697,5.28000020980835,18219297584000.0,2.44451941918041,224626000000.0,189947276000.0,10318.04936417646,8.71693586705814,82.4278282452692,2015,USA
318386421.0,160946480.0,157439941.0,12.5,8.237,12.0,19.992000579834,1.35099995136261,0.699000000953674,8.85499954223633,6.16800022125244,17521746534000.0,2.89827138428673,241062000000.0,208273224000.0,12993.9618247727,8.75430895443964,83.0890424221381,2014,USA
316057727.0,159818687.0,156239040.0,12.4,8.215,12.0,19.9699993133545,1.30799996852875,0.672999978065491,8.82900047302246,7.375,16784849190000.0,0.58108004285134,230732000000.0,223828260000.0,13004.1149096791,8.71326157278159,82.9405096870129,2013,USA
313874218.0,158768267.0,155105951.0,12.6,8.102,12.0,19.7290000915527,1.38999998569489,0.763999998569489,8.77700042724609,8.06900024414063,16197007349000.0,3.49888917024882,232301000000.0,187695610000.0,12964.3301891078,8.48145040759456,83.4371776188128,2012,USA
311580009.0,157658249.0,153921760.0,12.7,8.073,12.0,19.7360000610352,1.45000004768372,0.771000027656555,8.73099994659424,8.94900035858154,15542581104000.0,1.54018171359647,236378000000.0,189073562000.0,13246.029529449,8.16445164623265,83.714052768764,2011,USA
309326085.0,156559796.0,152766289.0,13.0,7.995,12.0,19.6620006561279,1.41600000858307,0.735000014305115,8.46000003814697,9.63300037384033,14992052727000.0,2.33219593125764,195720000000.0,156289352000.0,13394.9485702119,7.5051720554451,84.1505880660269,2010,USA
306771529.0,155298019.0,151473510.0,13.5,7.9,12.0,20.0389995574951,1.34599995613098,0.676999986171722,8.67700004577637,9.25399971008301,14448933025000.0,-2.12611281215432,141937000000.0,139948397000.0,12913.7146883015,7.35440475450257,84.1542537153329,2009,USA
304093966.0,153964934.0,150129032.0,14.0,8.1,12.0,21.4650001525879,1.33500003814697,0.681999981403351,9.60099983215332,5.78399991989136,14712844084000.0,-3.32892059544386,154608000000.0,156807011000.0,13663.4279681827,6.84554083511255,84.968221692611,2008,USA
301231207.0,152533798.0,148697409.0,14.3,8.0,12.0,22.132999420166,1.29299998283386,0.658999979496002,10.048999786377,4.62200021743774,14451858650000.0,-0.423318339525864,109024000000.0,154175628000.0,13657.4528282523,6.30412819821935,85.614705182945,2007,USA
298379912.0,151111214.0,147268698.0,14.3,8.1,12.0,22.3560009002686,1.38399994373322,0.740000009536743,10.0550003051758,4.6230001449585,13814611414000.0,2.55546762510122,50450000000.0,138239746000.0,13583.2669593387,6.39651397057971,85.626472526822,2006,USA
295516599.0,149690393.0,145826206.0,14.0,8.3,12.0,22.2849998474121,1.40900003910065,0.75,10.2449998855591,5.08300018310547,13036640229000.0,1.57157490165289,77955000000.0,148911711000.0,13704.5770481407,5.84109087259038,86.018535392161,2005,USA
292805298.0,148355637.0,144449661.0,14.0,8.2,12.0,22.3770008087158,1.46200001239777,0.776000022888184,10.4630002975464,5.52899980545044,12213729147000.0,2.74820743976511,78184000000.0,153729333000.0,13388.5897105591,5.47765651831783,86.1243128703203,2004,USA
290107933.0,147035365.0,143072568.0,14.1,8.4,12.0,22.4549999237061,1.49600005149841,0.811999976634979,10.7760000228882,5.98899984359741,11458243878000.0,1.52144768718847,58360000000.0,127788915000.0,13307.4920085002,5.32628227356981,86.2783854149701,2003,USA
287625193.0,145830133.0,141795060.0,14.0,8.5,12.0,22.7430000305176,1.5440000295639,0.834999978542328,10.9770002365112,5.78299999237061,10936419054000.0,0.43809900621703,45243000000.0,106130395000.0,13296.1822993023,4.84077918448262,86.2490843609645,2002,USA
284968955.0,144541124.0,140427831.0,14.1,8.5,12.0,23.7350006103516,1.51300001144409,0.836000025272369,11.8649997711182,4.73099994659424,10581821399000.0,0.932860516025386,48749000000.0,119503208000.0,13046.6141478464,4.67857120998539,86.3459809106252,2001,USA
282162411.0,143178430.0,138983981.0,14.4,8.5,12.0,24.4230003356934,1.61800003051758,0.859000027179718,12.7069997787476,3.99200010299683,10252345464000.0,2.44745898368689,35024000000.0,117948761000.0,13671.0520240061,5.42962368850183,85.8808305392289,2000,USA
279040000.0,141656845.0,137383155.0,14.2,8.6,12.0,24.3719997406006,2.45799994468689,1.35699999332428,12.8500003814697,4.2189998626709,9630664202000.0,2.97204839630238,25536000000.0,110866523000.0,13281.8699827982,5.70972659311957,85.7846010464005,1999,USA
275854000.0,140104345.0,135749655.0,14.3,8.6,12.0,24.5179996490479,2.56900000572205,1.34800004959106,13.0609998703003,4.51000022888184,9062818211000.0,4.71028498192526,17411000000.0,110022333000.0,13154.7630268185,4.5342968895809,86.0865943299391,1998,USA
272657000.0,138548214.0,134108786.0,14.2,8.7,12.0,24.6650009155273,2.62299990653992,1.40499997138977,13.2650003433228,5.0,8577554463000.0,4.1299232658576,23300000000.0,114674330000.0,12889.8322801175,4.51426029882715,86.4564944223768,1997,USA
269394000.0,136961367.0,132432633.0,14.4,8.8,12.0,24.8390007019043,2.71700000762939,1.47800004482269,13.4460000991821,5.45100021362305,8073122000000.0,3.23287858305122,30869000000.0,152778873809.5238,12854.2989079193,4.76393045060593,85.5100613230784,1996,USA
266278000.0,135451850.0,130826150.0,14.6,8.8,12.0,25.0219993591309,2.75399994850159,1.52100002765656,13.6470003128052,5.65000009536743,7639749000000.0,2.04826129175792,27952000000.0,152778873809.5238,12659.607628118,4.72655433519206,85.4693359772985,1995,USA
263126000.0,133928126.0,129197874.0,15.0,8.8,12.0,25.1340007781982,2.76999998092651,1.5,13.7910003662109,6.11899995803833,7287236000000.0,3.25820752906594,22966000000.0,152778873809.5238,12455.1621656545,4.08864139839829,85.9121290643525,1994,USA
259919000.0,132378008.0,127540992.0,15.4,8.8,12.0,25.1860008239746,2.58999991416931,1.15100002288818,13.8889999389648,6.90000009536743,6858559000000.0,0.975433189777178,31158000000.0,152778873809.5238,12261.5237824091,4.28152840674077,86.1179647916857,1993,USA
256514000.0,130719657.0,125794343.0,15.8,8.5,12.0,25.257999420166,2.74000000953674,1.23300004005432,14.0179996490479,7.5,6520327000000.0,2.05131299171666,31077000000.0,152778873809.5238,12014.9582478929,4.76308310810846,85.5748223295601,1992,USA
252981000.0,128977075.0,124003925.0,16.2,8.6,12.0,25.4820003509521,2.77699995040894,1.2610000371933,14.1929998397827,6.80000019073486,6158129000000.0,-0.873245925788282,31586000000.0,152778873809.5238,12134.1721315039,4.50791959377071,85.6947378489449,1991,USA
249623000.0,127297431.0,122325569.0,16.7,8.6,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,5963144000000.0,0.0863898191160217,34692000000.0,152778873809.5238,11713.3317042099,4.17546218583434,86.4378383178815,1990,USA
246819000.0,125869265.0,120949735.0,16.4,8.8,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,5641580000000.0,1.24943950531207,24789000000.0,152778873809.5238,11531.9323066701,5.957522125753533,87.0932872393801,1989,USA
244499000.0,124661002.0,119837998.0,16.0,8.9,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,5236438000000.0,4.87546376247776,22657000000.0,152778873809.5238,11298.3325085174,5.957522125753533,87.0772387170186,1988,USA
242289000.0,123494563.0,118794437.0,15.7,8.6,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,4855215000000.0,2.83444350796907,17488000000.0,152778873809.5238,10886.8582560496,5.957522125753533,87.37781446172,1987,USA
240133000.0,122359414.0,117773586.0,15.6,8.7,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,4579631000000.0,2.63300354288145,16957000000.0,152778873809.5238,10424.4272965398,5.957522125753533,87.6566326584691,1986,USA
237924000.0,121213526.0,116710474.0,15.8,8.7,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,4338979000000.0,3.33595835320662,25365000000.0,152778873809.5238,10414.2078983205,5.957522125753533,88.3016686762272,1985,USA
235825000.0,120145925.0,115679075.0,15.6,8.7,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,4037613000000.0,7.14250175288456,36290000000.0,152778873809.5238,10282.3746422135,5.957522125753533,88.9010414433368,1984,USA
233792000.0,119129099.0,114662901.0,15.6,8.6,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,3634038000000.0,2.45638512654014,37085000000.0,152778873809.5238,9742.00571448125,5.957522125753533,89.4550670754244,1983,USA
231664000.0,118069136.0,113594864.0,15.9,8.5,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,3343789000000.0,-0.0656456737475821,36510000000.0,152778873809.5238,9544.46094343532,5.957522125753533,90.0431205042659,1982,USA
229466000.0,116961245.0,112504755.0,15.8,8.6,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,3207042000000.0,3.29605886606987,32935000000.0,152778873809.5238,9976.69371497302,5.957522125753533,90.8319465466873,1981,USA
227225000.0,115807153.0,111417847.0,15.9,8.8,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,2857307000000.0,-3.34801203195921,34185000000.0,152778873809.5238,9862.36549675432,5.957522125753533,91.4260719583639,1980,USA
225055000.0,114660067.0,110394933.0,15.6,8.5,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,2627334000000.0,-1.85316519131253,31931000000.0,152778873809.5238,9700.69538557242,5.957522125753533,91.8029261569988,1979,USA
222585000.0,113336721.0,109248279.0,15.0,8.7,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,2351599000000.0,4.11265206571285,21581000000.0,152778873809.5238,9560.5454096188,5.957522125753533,91.7438061244566,1978,USA
220239000.0,112064477.0,108174523.0,15.1,8.6,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,2081826000000.0,3.35184860378992,20292000000.0,152778873809.5238,9337.72401799863,5.957522125753533,92.4223027301356,1977,USA
218035000.0,110868770.0,107166230.0,14.6,8.8,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,1873412000000.0,3.63518045353268,16847000000.0,152778873809.5238,8968.7756552847,5.957522125753533,93.0056154760703,1976,USA
215973000.0,109760877.0,106212123.0,14.6,8.8,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,1684904000000.0,-1.40257917405562,13004000000.0,152778873809.5238,8522.39400295407,5.957522125753533,93.0979531123041,1975,USA
213854000.0,108644597.0,105209403.0,14.8,9.1,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,1545243000000.0,-5.27372164381579,15520000000.0,152778873809.5238,8449.92845586241,5.957522125753533,94.1564542460561,1974,USA
211909000.0,107632675.0,104276325.0,14.8,9.3,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,1425376000000.0,5.1071008495344,12619000000.0,152778873809.5238,8573.19415409445,5.957522125753533,94.9771886917797,1973,USA
209896000.0,106592521.0,103303479.0,15.6,9.4,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,1279110000000.0,3.66216917786457,8558000000.0,152778873809.5238,8076.40926935244,5.957522125753533,95.3667577934488,1972,USA
207661000.0,105431729.0,102229271.0,17.2,9.3,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,1164850000000.0,1.52485267170965,7594000000.0,152778873809.5238,7517.30464555213,5.957522125753533,95.6438071526866,1971,USA
205052000.0,104063613.0,100988387.0,18.4,9.5,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,1073303000000.0,1.735522543112606,6393000000.0,152778873809.5238,7236.65704309151,5.957522125753533,95.9187712540164,1970,USA
202677000.0,102793272.0,99883728.0,17.9,9.5,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,1019900000000.0,1.735522543112606,73568653061.22449,152778873809.5238,6904.83379959245,5.957522125753533,95.8586746434697,1969,USA
200706000.0,101711678.0,98994322.0,17.6,9.8,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,942500000000.0,1.735522543112606,73568653061.22449,152778873809.5238,6385.45932857015,5.957522125753533,95.9226132734279,1968,USA
198712000.0,100611313.0,98100687.0,17.8,9.4,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,861700000000.0,1.735522543112606,73568653061.22449,152778873809.5238,5888.34091549579,5.957522125753533,95.9821682441868,1967,USA
196560000.0,99437061.0,97122939.0,18.4,9.5,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,815000000000.0,1.735522543112606,73568653061.22449,152778873809.5238,5590.33374033374,5.957522125753533,95.9644902619563,1966,USA
194303000.0,98225088.0,96077912.0,19.4,9.4,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,743700000000.0,1.735522543112606,73568653061.22449,152778873809.5238,5234.68500229024,5.957522125753533,95.8601615794837,1965,USA
191889000.0,96951949.0,94937051.0,21.1,9.4,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,685800000000.0,1.735522543112606,73568653061.22449,152778873809.5238,4970.44645602406,5.957522125753533,95.8016211194505,1964,USA
189242000.0,95575715.0,93666285.0,21.7,9.6,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,638600000000.0,1.735522543112606,73568653061.22449,152778873809.5238,4690.48625569377,5.957522125753533,95.7693155916265,1963,USA
186538000.0,94180305.0,92357695.0,22.4,9.5,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,605100000000.0,1.735522543112606,73568653061.22449,152778873809.5238,4433.60602129325,5.957522125753533,95.6055139735254,1962,USA
183691000.0,92714569.0,90976431.0,23.3,9.3,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,563300000000.0,1.735522543112606,73568653061.22449,152778873809.5238,4182.17550124938,5.957522125753533,95.5667993020266,1961,USA
180671000.0,91157654.0,89513346.0,23.7,9.5,12.0,22.371035848345084,1.82299998828343,0.9486071488686968,10.927428620202205,5.934642927987236,543300000000.0,1.735522543112606,73568653061.22449,152778873809.5238,4049.786628734,5.957522125753533,95.5256695527392,1960,USA
